名前,本文,マップ,階層,キャラ（ミカベル）,キャラ２（アズフレイア）,ミカ段階,服装,分類１,分類２,その他,説明,,,,マップ,階層,キャラ,キャラ２,ミカ段階,,分類,その他,説明
,,,,,,,,,,,,,,,自宅,１F,アズ,１段階,1,,戦闘,エロシーン管理,
OP1,"\M[フレイア真顔]\M[フレイアう～ん] :name[???,Actor1]「う～ん…なかなか来ないわねぇ…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ真顔] :name[???,Actor1]「おかしいですね…時間と場所はきちんと伝えた筈ですが…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ削除]\M[フレイア笑顔] :name[???,Actor1]「あの娘たちの事だし、寝坊でもしてるんじゃないかしら？
あとは…迷子…？」 
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア削除]\M[アズ呆れ] :name[???,Actor1] \M[アズはぁ]「フレイア様…
いくら先輩が怠け者とはいえ、 流石にお昼も過ぎてます。
いくらなんでも寝坊、 まして迷子なんてことは…」 
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ削除]\M[フレイア削除]\M[フレイア呆れ] :name[フレイア,Actor1]「う～ん…普通ならそうなんだけど…
でもあの二人でしょう…？あり得ない話じゃないと思うのよねぇ…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア削除]\M[アズ怒り] :name[???,Actor1]「なんにせよ、です。
女神たるフレイア様をお待たせするなんて、 天使の風上にも置けません…
まったく…ん…？」 ",天界,１F,ミカベル,アズフレイア,1,通常,ストーリー,OP,,,,,,,,NPC,おっさん,,,UI,,
OP2,"\M[ミカ驚き]:name[???,Actor1]「っちゃぁぁ～…
す、すいませぇ～ん…遅れましたぁ…って、
げ…！アズもいるじゃん…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア削除]\M[アズ怒り]:name[アズ,Actor1]「ミカ先輩！！呼び出しの時間を15分も過ぎてます！
女神様からの呼び出しを忘れるなんて一体何だと…！」
\M[ミカ引き笑い]\M[ミカはは…]:name[ミカ,Actor1]「うっ…ご、ごめん…
いや、覚えてはいたんだけどね…？
その、ちょっと色々あって…」
\M[アズ怒り]\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ怒り]:name[アズ,Actor1]「覚えていたならなお悪いです！
まさか本当に寝坊でもしていたんですか？」
\M[ミカ驚き]\M[ミカへっ？]:name[ミカ,Actor1]「えっ！？何でそれを…じゃなかったっ…
い、いや、ほら、体調？が悪くて…
起きれなかったっていうか…」
\M[アズ驚き]:name[アズ,Actor1]\M[アズはぁ]「………まさか本当に寝坊だったとは…。
一体どうすればこんな時間まで寝過ごせるんですか？
逆に教えてほしいです」
\M[アズ削除]\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア笑顔]:name[フレイア,Actor1]\M[フレイアうふふ]「ふふん、ほら、言ったとおりだったでしょう？
さ、アズちゃん、お小言はそれくらいにしてあげて。
ミカちゃんも。きちんと時間は守らないとダメでしょう？」
\M[ミカ真顔]:name[ミカ,Actor1]「うっ…は、はい…すいませんでした…」
\M[フレイア削除]\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ呆れ]:name[アズ,Actor1]「まぁ…フレイア様がそう仰るなら…
…ところで、ベル先輩はご一緒じゃないんですか？
てっきり二人揃って遅れているんだとばかり…」
\M[ミカ引き]\M[ミカうへぇ]:name[ミカ,Actor1]「ベルぅ？いや、知らない…というか、
あいつも呼び出されてるの？
うへぇ…すごい嫌な予感…」
",天界,１F,ミカベル,アズフレイア,1,通常,ストーリー,OP,,,,,,,,,,,,ストーリー,,
OP3,"\M[左立ち絵削除]\M[アズ削除]\M[ベル笑顔]:name[ベル,Actor1]「やっとついたぁ！
いやぁ～…うっかり天使学校中を走り回っちゃったよ…
遅刻してごめんなさぁ～い！」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ驚き]:name[アズ,Actor1]「べ、ベル先輩…まさか本当に迷子になってたんですか…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ削除]\M[ベル笑顔]\M[ベルあはは！]:name[ベル,Actor1]「いやぁ～…！女神様の部屋に続いてるワープポイントが
どれだか分かんなくなっちゃってさぁ。
適当に入ってたら全然知らない場所に着いちゃって大変だった…！」
\M[ベル驚き]\M[ベルああっ]:name[ベル,Actor1]「って、アズじゃん！もしかしてお前も呼び出し？
優等生でもたまには怒られることがあるんだなぁ…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル削除]\M[アズ真顔]\M[アズうるさいですね]:name[アズ,Actor1]「お二人と一緒にしないで下さい。
私はフレイア様に呼ばれて、
お仕事のお手伝いに来ているだけです」
\M[ミカ呆れ]:name[ミカ,Actor1]「ベルみたいな馬鹿堕天使とは違って、
アズはめちゃくちゃ優秀なんだから呼び出しなんてある訳ないでしょ…
少しは考えて喋ったらいいのに…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ削除]\M[アズ削除]\M[ベル怒り]\M[ベルげええ]:name[ベル,Actor1]「ああっっ！？ミカ！お前も呼ばれてたのか！？
ってか堕天使じゃないし！大体、みんなに影で
ニート天使呼ばわりされてるミカには言われたくないよ！」
\M[ミカ驚き]\M[ミカへっ？]:name[ミカ,Actor1]「は！？私そんなあだ名付けられてるの…！？
い、いや…それでも馬鹿すぎて、堕天寸前のベルよりはマシだから…！」
\M[ミカ怒り]:name[二人,Actor1]「「ぐぬぬぬぬぬ…！！！」」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル削除]\M[フレイア怒り]\M[フレイアあらあら]:name[フレイア,Actor1]「はいはい、二人ともそれくらいにしてもらって…
そろそろ呼び出した理由を話してもいいかしら？」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア削除]\M[ベル真顔]\M[ベルもぉう！]:name[ベル,Actor1]「うぐぐ…わ、わかりました…
ミカっ！フレイア様に免じて今回だけは許してやるけど…
次は容赦しないからね！」
\M[ミカ怒り]\M[ミカもぉぉ]:name[ミカ,Actor1]「ふん…それはこっちのセリフだって…！
今度私に突っかかってきたら、
そのときは本当に堕天するまで痛い目に…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル削除]\M[アズ呆れ]\M[アズうるさいですね]:name[アズ,Actor1]「お二人とも…！はぁ…まったく…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ削除]\M[フレイア呆れ]:name[フレイア,Actor1]\M[フレイアしょうがないですね]「…まぁ、いつものことだしね。
アズちゃん、落ち着くまで待ってましょうか。」
\M[フレイア削除]\M[アズ真顔]\M[アズはぁ]:name[アズ,Actor1]「いえ、私に任せて下さい。お二人を止めてきますので…」
",天界,１F,ミカベル,アズフレイア,1,通常,ストーリー,OP,,,,,,,,,,,,NPC会話,,
OP4,"\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ミカ不満]\M[ミカうへぇ]:name[ミカ,Actor1]「いたた…アズのやつ…
一応、私達のほうが先輩だったよな…？」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ削除]\M[ベル不満]:name[ベル,Actor1]「確かにこっちが悪かったとは言え…
これもミカのせいだぁ…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル削除]\M[アズ怒り]:name[アズ,Actor1]「お二人が女神様の目の前で、
喧嘩なんか始めるのが悪いんです
むしろそれくらいで済ませたことを感謝して下さい」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ削除]\M[フレイア真顔]:name[フレイア,Actor1]「はいはい…
さて…二人とも？今回呼び出した理由はわかっているかしら」
\M[ミカ引き]\M[ミカへっ？]\M[フキダシはてな]:name[ミカ,Actor1]「え？いやぁ～…なん…でしょうね…？」
\M[ミカ疑問]\M[フキダシ削除]:name[ミカ,Actor1]
（なんだろ…出された課題を全然やってない事とか…？
…う、うっかり女神様に渡す重要書類、
失くしちゃったのを黙ってるのがバレたとか…）
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア削除]\M[ベル引き]\M[ベルあはは…]\M[サブフキダシはてな]:name[ベル,Actor1]
「う、え、ええ～っと…ちょっと…わからないかも…」
\M[ベル疑問]\M[サブフキダシ削除]:name[ベル,Actor1]（うっかり学校中のガラスを割っちゃった事とか…？
い、いや、魔法の授業で失敗して、
教室を爆発させちゃったことかな…？）
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル削除]\M[アズ呆れ]\M[アズはぁ]:name[アズ,Actor1]（…お二人とも、
心当たりがありすぎて絞りきれないって顔ですね…
はぁ…まったく…）
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ削除]\M[フレイア呆れ]\M[フレイアう～ん]:name[フレイア,Actor1]「…まぁ、今考えていたことはいずれ問い詰めるとして…
二人とも、今学期の奉仕学科の評価は覚えてますか？」
\M[ミカ驚き]\M[ミカへっ？]:name[ミカ,Actor1]「え？奉仕学科…？あ～…そういえばそんなのあったような…
あれ、でも出た記憶ないな…？」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア削除]\M[ベル疑問]\M[ベルあはは！]:name[ベル,Actor1]「朝一の授業だったから、ミカは毎回寝坊で欠席だったよ。
えっと…なんだっけ？なんか人間にはやさしくしましょう、
みたいなことを言われてた気がする」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル削除]\M[アズ呆れ]:name[アズ,Actor1]「…守護対象であるニンゲンに対し、天使である我々が
いかにして接し、加護を与え、保護するか学ぶ科目です。
ま、個人的には改めて学ぶほどのものでも無いと思いますが…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ削除]\M[フレイア不満]:name[フレイア,Actor1]「…そうですね。地上に住まう人間を適切に導き、
助ける事こそが私達天界の住人の使命」
\M[フレイア笑顔]:name[フレイア,Actor1]「中でも奉仕学科は、艱難辛苦に直面し、
進むべき道を見失った人間達を助ける方法を学ぶための大切な学科です。
天使にとっての第一義と言ってもいいでしょう」
\M[フレイア怒り]\M[フレイアちょっとぉ？]:name[フレイア,Actor1]「…だというのに…です。その奉仕学科の試験において、
ベルちゃんは赤点ぶっちぎりの最底辺！
ミカちゃんに至っては出席すらしていないなんて…これは由々しき事態です…！」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア削除]\M[ベル不満]:name[ベル,Actor1]\M[ベルあはは…]「うっ…だ、だって…
問題文を読んでも何書いてるか全然分かんなくて…
しょうがないから全部サイコロで決めたら…」
\M[ミカ怒り]:name[ミカ,Actor1]「ベルの馬鹿はおいておいて…そもそもそんな大切な科目、
私が一回も出席してないのは明らかにおかしいでしょう…！
なのに誰も教えてくれないのは…！？」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ疑問]:name[アズ,Actor1]「いえ、何度かベル先輩から通知の書類を渡して貰ってます
…お願いしましたよね…？」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル笑顔]:name[ベル,Actor1]「ああ、あれならちゃんとミカに渡したよ！！
封筒に入れて部屋に投げ込んどいた！」
\M[ミカ驚き]:name[ミカ,Actor1]「…ああっ…！？たまにお前から手紙が来てたのって…！
い、いたずらか嫌がらせのたぐいだと思って、
全部読まずに捨てちゃってた…！」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ呆れ]:name[アズ,Actor1]\M[アズはぁ]「………それは流石にミカ先輩の自己責任ですね…
はぁ…せめて書類の中身くらいは確認して下さい…」
\M[ミカ怒り]\M[ミカもぉぉ]:name[ミカ,Actor1]「うぐぅ……！！
と、というか何でベルなんかにそんな大事な役割を！？
もっと他に適任が…」
\M[アズ不満]:name[アズ,Actor1]「…いなかったんです…
ほら、ミカ先輩って極度の面倒くさがり屋で
人付き合いとか全然ないですし…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル真顔]:name[ベル,Actor1]「そういえば確かに。私とアズ以外の天使と話してるの、
滅多に見ないし。
たまの会話中もずっとダルそうな顔してるもんね」
\M[ミカ不満]:name[ミカ,Actor1]「ぐぅぅ…そ、そんな…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア呆れ]\M[フレイアう～ん]:name[フレイア,Actor1]「…それに、ミカちゃんもベルちゃんも、
他の授業の成績もお世辞にもいいとは言えませんからねぇ…
このままじゃ、一人前の天使どころか、天使学校の卒業すら…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル不満]\M[ベルええ～っ]:name[ベル,Actor1]「ええ～～っっ！？そ、それじゃ困るって！
わ、私、ただでさえ失敗続きで堕天寸前なのに…！
学校も卒業できないなんて…このままじゃ本当に…！」
\M[ミカ笑顔]\M[ミカはは…]:name[ミカ,Actor1]「やる気だけじゃどうにもなりませんよっていう
良いお手本として、後世にも名前が残るんじゃない？」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ笑顔]:name[アズ,Actor1]「そういうミカ先輩も、
サボるとどうなるかっていういい見本になりそうですけどね…
というか、卒業できない時点で五十歩百歩です」
\M[ミカ不満]\M[ミカうへぇ]:name[ミカ,Actor1]「ぅ…確かにベルと同じレベルの馬鹿だと思われるのは…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル怒り]\M[ベルもぉう！]:name[ベル,Actor1]「むき～！！私だって、
ミカみたいなグータラニートと同じ扱いは嫌なんだけど！」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア呆れ]\M[フレイアあらあら]:name[フレイア,Actor1]「はいはい…
でも二人とも、きちんと卒業するつもりはあるのね？」
\M[ミカ疑問]:name[ミカ,Actor1]「そりゃあまぁ…当然ですけど…」
\M[フレイア笑顔]:name[フレイア,Actor1]\M[フレイアうふふ]「ふふ…だったら良かったわ。
え～…そんな二人のために…私から、
特別補習の案内で～す！わー！ぱちぱちぱち！」
\M[フレイア笑顔]:name[フレイア,Actor1]「ということで、二人にはこれからしばらく、
地上に出向いて人間の皆さんのお手伝いをしてもらいます。
期間は…私が大丈夫って思うまで！」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル驚き]\M[ベルああっ]:name[ベル,Actor1]「おおっ！地上に行っていいの！？」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア驚き]\M[フレイアうふふ]:name[フレイア,Actor1]「あら！ベルちゃんったらやる気いっぱいですね！
ええ、地上に行って、困ってる人を助けてあげること！
無事こなせれば、天使学校からも卒業です！」
\M[フレイア笑顔]:name[フレイア,Actor1]「たくさんの人の手助けができれば、天使としても一人前ですからね。
成績によっては一気に上級天使にだって…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル笑顔]\M[ベルあはは！]:name[ベル,Actor1]「やったぁっ！やるやる！やります！！
地上で人間さんたちの手伝い頑張るぞっ！」
\M[ミカ不満]\M[ミカうへぇ]:name[ミカ,Actor1]「ええ～…私はあんまりやる気が出ないんですけど…
…他の方法とか無いんですか…？」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア疑問]:name[フレイア,Actor1]「他っていうと…そうねぇ…
人間と天使の関係についてまとめたレポートを出せば、
奉仕学科については合格にしてもいいけど…」
\M[ミカ驚き]\M[ミカおおっ]:name[ミカ,Actor1]「おおっ…そっちのほうが楽そ…じゃなかった…
そっちのほうが勉強になりそうだし、私はそのほうが…」
\M[フレイア不満]\M[フレイアう～ん]:name[フレイア,Actor1]「でもミカちゃん、他の学科もかなりギリギリだから…
天界法学に法術学、信仰歴史学…その他諸々のレポートも合わせると、
卒業には大体50万文字くらい書いてもらわないと…」
\M[ミカ怒り]:name[ミカ,Actor1]「やっぱり地上にいきたいです！」
\M[フレイア笑顔]:name[フレイア,Actor1]「ふふ、そういうと思ったわ。
心配しなくても、別に終わるまで天界に戻ってきちゃいけないとかは無いし、
それにアズちゃんも手伝ってくれるから…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ驚き]\M[アズええっ]:name[アズ,Actor1]「は！？い、いや、私はそれ、聞いてないんですけど…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア驚き]\M[フレイアあらぁ]:name[フレイア,Actor1]「あ、あら…？そうだったかしら…？
ま、まあでもアズちゃん、優秀だしなんとかなるでしょ？
ほら、ここにマニュアルもあるし…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ不満]:name[アズ,Actor1]「ま、まあそれなら…で、でも…！どうして私が
こんなダメダメ先輩二人のお世話なんか…！」
\M[ミカ不満]\M[ミカうへぇ]:name[ミカ,Actor1]「うっ…そんな言い方ないじゃん…
事実とは言え流石に私でも傷つくんだけど…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル不満]\M[ベルあはは…]:name[ベル,Actor1]「う～ん…アズ、優秀でいい子なんだけど、
たまにもの凄く口が悪いよね…正論だから言い返せないけど、
もうちょっと優しく言ってほしい…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア不満]\M[フレイアちょっとぉ？]:name[フレイア,Actor1]「二人の言う通りですよ。
アズちゃんはたしかに素晴らしく優秀な天使ですが…
ちょっぴり思いやりにかける部分がありますからねぇ…」
\M[フレイア怒り]:name[フレイア,Actor1]「それに、アズちゃんの奉仕学科の点数、
トータルで見れば高得点でしたけど…
人間さんに対する倫理道徳の部分では失点が目立ってましたよ？」
\M[フレイア笑顔]:name[フレイア,Actor1]「ですから今回は二人の補習であると同時に、アズちゃんのお勉強でもあるんです。
地上で二人を補佐しながら、
もう少し人間さんに対する道徳的なお勉強をしてきてくださいね」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ不満]\M[アズはい]:name[アズ,Actor1]「別に私はそんな…
…まぁ…フレイア様が仰るんでしたら…はい…
頑張りますけど…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル笑顔]:name[ベル,Actor1]「やったぁ！アズが手伝ってくれるなら楽勝だな！
ふっふ～ん…！これは明日にでも上級天使に…」
\M[ミカ引き]\M[ミカもぉぉ]:name[ミカ,Actor1]「流石に気が早すぎるでしょ…
でもまぁ、確かにアズに任せれば、私たちは何もしなくても…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ真顔]:name[アズ,Actor1]「言っておきますけど、私はあくまでもサポート、
お手伝いですからね。
実際にニンゲンの手伝いをするのは先輩たちですよ」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア怒り]:name[フレイア,Actor1]「ええ、アズちゃんの言う通り！
ミカちゃんもベルちゃんも、きちんと自分の力で頑張ってきてくださいね！」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル真顔]:name[ベル,Actor1]「い、言われなくても当然っ！
私は私の実力で、今回の補習も成功させてきちゃうもんね！」
\M[ミカ不満]\M[ミカしょうがないなぁ]:name[ミカ,Actor1]「…まぁ、流石にそう上手い話はないよね…
はぁ～い、頑張りまぁ～す…！」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ呆れ]:name[アズ,Actor1]「くれぐれも私の足は引っ張らないでくださいよ…！
もう…何でこんなことに…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[フレイア笑顔]:name[フレイア,Actor1]「ふふっ！よし、それじゃあ…3人とも！
人間さんのお手伝い、頑張ってきて下さいね！」
\M[フレイアいってらっしゃい]
",天界,１F,ミカベル,アズフレイア,1,通常,ストーリー,OP,,,,,,,,,,,,メインエロ,,
OP5,":name[ミカ,Actor1]\M[ミカ驚き]「へぇ～…ここが私達の…家？宿舎…？
思ったより綺麗だね」
:page\M[ベル笑顔]:name[ベル,Actor1]「わーい！ベッドがふかふかだぁ～！
おおっ！二階もあるじゃん！」
",天界,１F,ミカベル,アズフレイア,1,通常,ストーリー,OP,,,,,,,,,,,,サブエロ,,
OP6,"\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ笑顔]:name[アズ,Actor1]「まぁ、一応は天界所有の建物ですからね。
信者のニンゲンとかがキレイにしてるんでしょう」
",天界,１F,ミカベル,アズフレイア,1,通常,ストーリー,OP,,,,,,,,,,,,モブエロ,,
OP7,"\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル笑顔]\M[ベルあはは！]:name[ベル,Actor1]「わーいっ！お風呂もついてる！キッチンも！トイレもあるぞっ！」",天界,１F,ミカベル,アズフレイア,1,通常,ストーリー,OP,,,,,,,,,,,,,,
OP8,"\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ怒り]\M[アズうるさいですね]:name[アズ,Actor1]「…ちょっと、ベル先輩…！
あんまりはしゃがないで下さいよ…」
",天界,１F,ミカベル,アズフレイア,1,通常,ストーリー,OP,,,,,,,,,,,,,,
OP9,"\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[ベル怒り]\M[ベルげええ]:name[ベル,Actor1]「え～…いーじゃんかぁ…！
なんかこういうのってテンション上がらない？
旅行みたいでさぁ」
\M[ミカ呆れ]\M[ミカはぁ]:name[ミカ,Actor1]「……私達の卒業がかかってる補習だって自覚あるのか…？
はぁ…もう少し危機感というか、真剣にというかさぁ…」
\M[ベル不満]:name[ベル,Actor1]「むぅ～…！ミカもアズもノリ悪いなぁ…
そんなに暗い顔してないで…」
:name[ベル,Actor1]「あっ…！はは～ん…？
さては私が人間たちの悩みを片っ端から解決しちゃって、
なんにもできないまま終わっちゃうんじゃないかと思ってるとか？」
\M[ベルあはは！]\M[ベル笑顔]:name[ベル,Actor1]「はっはっはっ！！なぁんだ、そういうことかぁ！
まぁ、どうしてもって言うなら、二人の分も残しておいてあげるからさ、
心配しなくていいからね！」
\M[アズはぁ]\M[ミカ呆れ]:name[ミカ,Actor1]「……アズがいくらサポートしてくれても、
コイツのお守りで結局トントンくらいになりそうな気が…」
\M[ベル削除]\M[アズ削除]\M[フレイア削除]\M[アズ呆れ]:name[アズ,Actor1]「はぁ…もういいです…
…とりあえず、準備ができたら外に出て下さい。
ニンゲンの悩みを解決する方法を教えますから…」
",天界,１F,ミカベル,アズフレイア,1,通常,ストーリー,OP,,,,,,,,,,,,,,
